mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0785090446472168,0.05477949227149923,0.05502309799194336,0.09506456918228019,7,1,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.0044063091278076175,0.0007934351176436175,0.0,0.0,7,2,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.06759853363037109,0.030129020713563645,0.49373531341552734,0.14702707005121093,7,2,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.8723404255319149,0.8729809104258444,0.8729809104258444,0.8715124816446402,0.8722466960352423,0.8724122848126973,0.0005456920957010223,10,0.8735315712187959,0.8730042209579739,0.8730042209579739,0.8733712607817948,0.8733712607817948,0.8732565069396667,0.00021414652896396458
0.04100222587585449,0.04716265687356625,0.0,0.0,7,3,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.04639701843261719,0.045363477963999005,0.0,0.0,7,3,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.028198719024658203,0.045404654891984704,0.0,0.0,8,1,StandardScaler(),"{'classifier__n_neighbors': 8, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.11499061584472656,0.12048722378496497,0.007598114013671875,0.0004931647454079418,8,1,MaxAbsScaler(),"{'classifier__n_neighbors': 8, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.022603797912597656,0.033708497321576734,0.0,0.0,8,2,StandardScaler(),"{'classifier__n_neighbors': 8, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.1401139259338379,0.13699610725729075,0.7975515842437744,0.3897354944738685,8,2,MaxAbsScaler(),"{'classifier__n_neighbors': 8, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.871606749816581,0.8722466960352423,0.8729809104258444,0.8707782672540382,0.8722466960352423,0.8719718639133897,0.0007385420155420324,14,0.8735315712187959,0.8720866213984217,0.8731877408698844,0.8735547806937053,0.8735547806937053,0.8731830989749024,0.0005656875688686482
0.01072382926940918,0.005641807859099524,0.0,0.0,8,3,StandardScaler(),"{'classifier__n_neighbors': 8, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.04019985198974609,0.011564979729868622,0.0,0.0,8,3,MaxAbsScaler(),"{'classifier__n_neighbors': 8, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.020198488235473634,0.006914032872145035,0.0,0.0,9,1,StandardScaler(),"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.05420331954956055,0.027584788136097178,0.01479654312133789,0.007550178248178293,9,1,MaxAbsScaler(),"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.07920551300048828,0.06706534344083764,0.0,0.0,9,2,StandardScaler(),"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.1298006534576416,0.08186132526223809,0.9113388538360596,0.1312271184897962,9,2,MaxAbsScaler(),"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.8723404255319149,0.8729809104258444,0.8729809104258444,0.8729809104258444,0.8722466960352423,0.8727059705689382,0.00033803314812031935,9,0.8729809104258444,0.8728207010460635,0.8728207010460635,0.8728207010460635,0.8728207010460635,0.8728527429220196,6.408375191235828e-05
0.01840043067932129,0.009892666729676801,0.0,0.0,9,3,StandardScaler(),"{'classifier__n_neighbors': 9, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
