mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_scaler,param_classifier__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015625810623168944,9.60800250988478e-07,0.0,0.0,0.1,rbf,StandardScaler(),,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.4875017642974854,0.0980285186750465,0.05937814712524414,0.0062568209762999625,0.1,rbf,MaxAbsScaler(),,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.8723404255319149,0.8729809104258444,0.8729809104258444,0.8729809104258444,0.8729809104258444,0.8728528134470585,0.0002561939575717709,1,0.8729809104258444,0.8728207010460635,0.8728207010460635,0.8728207010460635,0.8728207010460635,0.8728527429220196,6.408375191235828e-05
0.006252717971801758,0.007657985233552771,0.0,0.0,0.01,rbf,StandardScaler(),,"{'classifier__C': 0.01, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.36875038146972655,0.028985359628658308,0.10624275207519532,0.07991266633877715,0.01,rbf,MaxAbsScaler(),,"{'classifier__C': 0.01, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.8723404255319149,0.8729809104258444,0.8729809104258444,0.8729809104258444,0.8729809104258444,0.8728528134470585,0.0002561939575717709,1,0.8729809104258444,0.8728207010460635,0.8728207010460635,0.8728207010460635,0.8728207010460635,0.8728527429220196,6.408375191235828e-05
0.006250715255737305,0.007655532138447906,0.0,0.0,1,rbf,StandardScaler(),,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.35001201629638673,0.015945298137406236,0.0562403678894043,0.007654780593654614,1,rbf,MaxAbsScaler(),,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.8723404255319149,0.8715124816446402,0.8729809104258444,0.8715124816446402,0.8707782672540382,0.8718249133002157,0.0007606283245164541,8,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.003126192092895508,0.006252384185791016,0.0,0.0,10,rbf,StandardScaler(),,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.4250091552734375,0.045723785170265985,0.1343587875366211,0.14374988122286905,10,rbf,MaxAbsScaler(),,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.8723404255319149,0.8715124816446402,0.8729809104258444,0.8715124816446402,0.8707782672540382,0.8718249133002157,0.0007606283245164541,8,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.0031255245208740234,0.006251049041748047,0.0,0.0,100,rbf,StandardScaler(),,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.4281299591064453,0.059791892674863845,0.0624852180480957,2.5269220263934314e-05,100,rbf,MaxAbsScaler(),,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.8723404255319149,0.8715124816446402,0.8729809104258444,0.8715124816446402,0.8707782672540382,0.8718249133002157,0.0007606283245164541,8,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.0062469482421875,0.007650919747225334,0.0,0.0,0.1,poly,StandardScaler(),2,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.34374823570251467,5.949200477332521e-06,0.040618276596069335,0.007665620387314835,0.1,poly,MaxAbsScaler(),2,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.8701393983859135,0.8715124816446402,0.8737151248164464,0.8707782672540382,0.868575624082232,0.870944179236654,0.00169034668375025,27,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.006252813339233399,0.00765810142565344,0.0,0.0,0.1,poly,StandardScaler(),3,"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.3656333923339844,0.044857283211855094,0.04061570167541504,0.012504532062720654,0.1,poly,MaxAbsScaler(),3,"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.8708730741012473,0.8715124816446402,0.8737151248164464,0.8707782672540382,0.869309838472834,0.8712377572578411,0.0014334447473839627,11,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.006247568130493164,0.0076516793446738535,0.0,0.0,0.1,poly,StandardScaler(),4,"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.378125,0.006256093041917128,0.05000514984130859,0.00625637645969217,0.1,poly,MaxAbsScaler(),4,"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.8708730741012473,0.8715124816446402,0.8737151248164464,0.8707782672540382,0.869309838472834,0.8712377572578411,0.0014334447473839627,11,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.0,0.0,0.0,0.0,0.1,poly,StandardScaler(),5,"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.44374613761901854,0.1220788031351575,0.053125858306884766,0.007657557038833166,0.1,poly,MaxAbsScaler(),5,"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.8708730741012473,0.8715124816446402,0.8737151248164464,0.8707782672540382,0.869309838472834,0.8712377572578411,0.0014334447473839627,11,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.006251907348632813,0.007656998946251934,0.0,0.0,0.01,poly,StandardScaler(),2,"{'classifier__C': 0.01, 'classifier__degree': 2, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.34999728202819824,0.0076531856734238365,0.04687867164611816,8.907542746609204e-06,0.01,poly,MaxAbsScaler(),2,"{'classifier__C': 0.01, 'classifier__degree': 2, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.8708730741012473,0.8715124816446402,0.8737151248164464,0.8707782672540382,0.868575624082232,0.8710909143797207,0.001645362407971916,26,0.875367107195301,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755322212188362,0.00029605168392406314
0.006249141693115234,0.00765360466852358,0.0,0.0,0.01,poly,StandardScaler(),3,"{'classifier__C': 0.01, 'classifier__degree': 3, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
0.36249866485595705,0.020730511489081033,0.04687485694885254,0.017114982805994147,0.01,poly,MaxAbsScaler(),3,"{'classifier__C': 0.01, 'classifier__degree': 3, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.8708730741012473,0.8715124816446402,0.8737151248164464,0.8707782672540382,0.869309838472834,0.8712377572578411,0.0014334447473839627,11,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.006251287460327148,0.007656232764834753,0.0,0.0,0.01,poly,StandardScaler(),4,"{'classifier__C': 0.01, 'classifier__degree': 4, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
