mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__l1_ratio,param_classifier__penalty,param_classifier__solver,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.25651912689208983,0.20756479728653635,0.08321247100830079,0.10854535572593643,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.14261941909790038,0.002073455789936194,0.02537961006164551,0.005593704175686217,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.1638763427734375,0.018297471211558246,0.02792210578918457,0.0038316571858752328,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.13722357749938965,0.004400210615458725,0.026528072357177735,0.0015919323854084366,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.19143900871276856,0.037433109476706736,0.02947840690612793,0.0028294149808701682,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.16118693351745605,0.01519392022841736,0.03659310340881348,0.0054844836200865065,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.22384238243103027,0.14137587489332168,0.031592369079589844,0.0014656399928985166,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.15763206481933595,0.007051612287208479,0.033125686645507815,0.003988833778106019,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.14146051406860352,0.0015012572822747366,0.029733943939208984,0.003574420727344809,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8672046955245781,0.8634361233480177,0.869309838472834,0.8627019089574156,0.8627019089574156,0.8650708950520523,0.0026988299145598873,1,0.8645374449339207,0.8654799045696459,0.8640117452743623,0.8656634244815562,0.8656634244815562,0.8650711887482082,0.0006746610829100417
0.13739233016967772,0.0035202431182968503,0.02488393783569336,0.005914683509586222,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8672046955245781,0.8634361233480177,0.869309838472834,0.8627019089574156,0.8627019089574156,0.8650708950520523,0.0026988299145598873,1,0.8645374449339207,0.8654799045696459,0.8640117452743623,0.8656634244815562,0.8656634244815562,0.8650711887482082,0.0006746610829100417
