mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17066636085510253,0.05407545859305489,0.04560055732727051,0.02344783221268745,,CountVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8708730741012473,0.8722466960352423,0.8722466960352423,0.869309838472834,0.868575624082232,0.8706503857453596,0.0014998470679158222,23,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.1285672664642334,0.0053691970675177865,0.03480792045593262,0.00435660782295168,,CountVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8701393983859135,0.8722466960352423,0.8722466960352423,0.869309838472834,0.869309838472834,0.8706504934804131,0.0013380325172731528,21,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.1417013645172119,0.015824002242119137,0.034001922607421874,0.003579915351688641,,CountVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8701393983859135,0.8722466960352423,0.8722466960352423,0.869309838472834,0.869309838472834,0.8706504934804131,0.0013380325172731528,21,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.1376551628112793,0.016505047653254924,0.035995197296142575,0.010584200133012192,,CountVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8708730741012473,0.8722466960352423,0.8722466960352423,0.869309838472834,0.869309838472834,0.87079722862348,0.0013139499999997477,18,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.13760037422180177,0.008555635920125532,0.035394287109375,0.00608900973049483,,TfidfVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.871606749816581,0.8707782672540382,0.8722466960352423,0.8707782672540382,0.8678414096916299,0.870650278010306,0.0015090323092117647,24,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.13505420684814454,0.009319117673890872,0.031598234176635744,0.0018626513258259408,,TfidfVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.871606749816581,0.8707782672540382,0.8729809104258444,0.8707782672540382,0.8678414096916299,0.8707971208884263,0.0016829364422323437,19,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.13256502151489258,0.0075535081502982795,0.03240704536437988,0.001967651283796832,,TfidfVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.871606749816581,0.8715124816446402,0.8729809104258444,0.8707782672540382,0.8678414096916299,0.8709439637665468,0.0017067481794744146,16,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.1450437545776367,0.022656011012635736,0.03220248222351074,0.002781950122586958,,TfidfVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.871606749816581,0.8715124816446402,0.8729809104258444,0.8707782672540382,0.8678414096916299,0.8709439637665468,0.0017067481794744146,16,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.14899635314941406,0.05465950679105488,0.035595703125,0.011311513523084663,5,CountVectorizer(),1000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.871606749816581,0.8729809104258444,0.8722466960352423,0.8729809104258444,0.8722466960352423,0.8724123925477508,0.0005196914535040263,2,0.8744493392070485,0.8741053404294366,0.8741053404294366,0.874288860341347,0.874288860341347,0.874247548149723,0.00013006082929785696
0.11741042137145996,0.005686120634736698,0.029796361923217773,0.0022224518888776836,5,CountVectorizer(),1500,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.871606749816581,0.8729809104258444,0.8729809104258444,0.8729809104258444,0.8722466960352423,0.8725592354258712,0.0005546781270983426,1,0.8744493392070485,0.8741053404294366,0.8741053404294366,0.874288860341347,0.874288860341347,0.874247548149723,0.00013006082929785696
0.11860380172729493,0.004888820876086969,0.02938418388366699,0.0017396090643409861,5,CountVectorizer(),2000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.871606749816581,0.8729809104258444,0.8729809104258444,0.8722466960352423,0.8722466960352423,0.8724123925477508,0.0005196914535040263,2,0.8744493392070485,0.8741053404294366,0.8741053404294366,0.874288860341347,0.874288860341347,0.874247548149723,0.00013006082929785696
