mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__l1_ratio,param_classifier__penalty,param_classifier__solver,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.28279714584350585,0.15443691266548762,0.07779717445373535,0.08762820748824537,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.20627665519714355,0.06829789123875743,0.03240022659301758,0.002057254464699183,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.2114029884338379,0.05617656555622848,0.03019890785217285,0.000972705828471669,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.2335996150970459,0.06503509629870784,0.03680548667907715,0.007358299616490812,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8642699926632429,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8640434258454238,0.0024761434501561447,21,0.8632525697503671,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8651128647458249,0.8645572858348229,0.0009982181748022356
0.27980828285217285,0.06835989179243565,0.03440361022949219,0.0018603380488870283,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.21140618324279786,0.026660770715310856,0.040802001953125,0.0049446603719067025,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.44809694290161134,0.14274970356001748,0.03620114326477051,0.0031198880930620575,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.48985610008239744,0.13240055205558107,0.034401750564575194,0.001355368237798854,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8664710198092443,0.8634361233480177,0.868575624082232,0.8627019089574156,0.8612334801762115,0.8644836312746241,0.0026656859439742535,17,0.8639867841409692,0.8652963846577354,0.8634611855386309,0.8656634244815562,0.8649293448339145,0.8646674247305611,0.0008215221037637875
0.16519927978515625,0.007598780757740895,0.034003591537475585,0.003029816870341858,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8672046955245781,0.8634361233480177,0.869309838472834,0.8627019089574156,0.8627019089574156,0.8650708950520523,0.0026988299145598873,1,0.8645374449339207,0.8654799045696459,0.8640117452743623,0.8656634244815562,0.8656634244815562,0.8650711887482082,0.0006746610829100417
0.1750027656555176,0.010323277809024183,0.03780241012573242,0.005032163588887145,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8672046955245781,0.8634361233480177,0.869309838472834,0.8627019089574156,0.8627019089574156,0.8650708950520523,0.0026988299145598873,1,0.8645374449339207,0.8654799045696459,0.8640117452743623,0.8656634244815562,0.8656634244815562,0.8650711887482082,0.0006746610829100417
