mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3994919300079346,0.2135176334841667,0.05664072036743164,0.05075414337067858,,CountVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8708730741012473,0.8722466960352423,0.8722466960352423,0.869309838472834,0.869309838472834,0.87079722862348,0.0013139499999997477,20,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.33182544708251954,0.1007463261371249,0.0707775592803955,0.03435768136640734,,CountVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8708730741012473,0.8722466960352423,0.8722466960352423,0.869309838472834,0.869309838472834,0.87079722862348,0.0013139499999997477,20,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.28372740745544434,0.07509833932213561,0.05422353744506836,0.019278158639142375,,CountVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8701393983859135,0.8729809104258444,0.8722466960352423,0.869309838472834,0.869309838472834,0.8707973363585337,0.0015314582250677245,19,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.23411116600036622,0.062429969519253434,0.046002769470214845,0.010046299819301403,,CountVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8708730741012473,0.8729809104258444,0.8722466960352423,0.869309838472834,0.869309838472834,0.8709440715016005,0.0014961296263652846,16,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.1850269317626953,0.040495294554064525,0.05312891006469726,0.007664218755246836,,TfidfVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.871606749816581,0.8715124816446402,0.8722466960352423,0.8707782672540382,0.8671071953010279,0.870650278010306,0.0018317532729544403,24,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.19375500679016114,0.03507853568749821,0.055532646179199216,0.01498829849071684,,TfidfVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.871606749816581,0.8715124816446402,0.8729809104258444,0.8707782672540382,0.8678414096916299,0.8709439637665468,0.0017067481794744146,17,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.20432281494140625,0.027113375332689718,0.04717531204223633,0.01365090904129095,,TfidfVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.871606749816581,0.8707782672540382,0.8729809104258444,0.8707782672540382,0.8678414096916299,0.8707971208884263,0.0016829364422323437,22,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.22275209426879883,0.04839788103166974,0.04932975769042969,0.004909707116967588,,TfidfVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.871606749816581,0.8715124816446402,0.8729809104258444,0.8707782672540382,0.8671071953010279,0.8707971208884263,0.0019774773352248497,22,0.8755506607929515,0.8757570196366306,0.8750229399889888,0.8757570196366306,0.8757570196366306,0.8755689319383665,0.00028445456236622565
0.18132328987121582,0.024265499845243413,0.046097946166992185,0.012813657837211782,5,CountVectorizer(),1000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8723404255319149,0.8722466960352423,0.8722466960352423,0.8729809104258444,0.8722466960352423,0.8724122848126973,0.0002866209252021056,1,0.8744493392070485,0.8741053404294366,0.8741053404294366,0.874288860341347,0.874288860341347,0.874247548149723,0.00013006082929785696
0.155648136138916,0.02762241029203325,0.04663095474243164,0.016190715709538905,5,CountVectorizer(),1500,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8723404255319149,0.8729809104258444,0.8722466960352423,0.8722466960352423,0.8722466960352423,0.8724122848126973,0.0002866209252021056,1,0.8744493392070485,0.8741053404294366,0.8741053404294366,0.874288860341347,0.874288860341347,0.874247548149723,0.00013006082929785696
0.21772842407226561,0.07837357615337325,0.042868757247924806,0.013041630779632789,5,CountVectorizer(),2000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8723404255319149,0.8729809104258444,0.8722466960352423,0.8722466960352423,0.8722466960352423,0.8724122848126973,0.0002866209252021056,1,0.8744493392070485,0.8741053404294366,0.8741053404294366,0.874288860341347,0.874288860341347,0.874247548149723,0.00013006082929785696
